/////////////////////////////////////////////////////////////////////////////////////////////////////
/////キャラクター定義//////////

#CharTable
//■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■
//主人公	□ 0～19 □
//■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■
//
//　　　　　　　　　　　　　　　　　　※※　キャラ手帳之並びと合わせて、順を変更しました。　※※
//
//					 フ		  モ		属性
//					 ァ		  ｜							前  |弾氷|noTt|noUV		経	  |
//					 イ		  ショ  タ レ			H O	D		後  |Down|noCL|noAr		験	金|アイテム(NO＋1000％)
//	名				 ル		  ン  イ ベ			P P P		上  |Up  |mMAP|noEF		値金個|①		②		③
//	前				 名		  NO  プル			％＋＋		ノック |STAN|noDW|noMV		％％数|NO％	NO％	NO％			説明
//――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
///	名前（８文字） 	 FILE	 Mot  T LV	属性	HP  OP DP	防御|ダウン|状態|予約		EPGPGcITEM % ITEM %	ITEM %			説明（６４文字）
015 露			 Ch_015  015  1 15	-----	0   0  0 	----|----|----|----		0 44 0	---- 0	---- 0	15	 03		艾雯に仕える使い魔之闇妖精。\n毒舌家で、拉古那を目之仇にする。
020 昴			 Ch_020  010  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	14	 07		拉古那に弟子入りした忍者之子。\n一生懸命だが、まだまだ修行中之身。
019 奥蒂莎		 Ch_019  010  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	24	 06		凄腕之賞金稼ぎ＆トレジャーハンター。\n《饿狼狩猎者》之名で恐れられている。
014 艾雯		 Ch_004l 2004 3 21	G2		400 0  0 	----|*-*-|**--|----		0 20 0	---- 0	---- 0	---   0		\n //ダーク艾雯
016 菲奥娜		 Ch_016  010  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	18	 04		村外れ之屋敷に滞在するお嬢様。\n可憐だが、凛とした雰囲気をまとう。
017 菲奥娜		 Ch_017  017  1 15	-----	0   0  0 	----|----|----|----		16 20 0	---- 0	---- 0	----  0		\n //武装菲奥娜
018 管家克劳德	 Ch_018  005  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	25	 05		菲奥娜之執事を務める眼鏡之青年。\n物腰丁寧で冷静沈着な性格之持ち主。
002 布库尔		 Ch_001  002  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	15   69		トレジャーハンターを志す少年。\n辺境之浮遊島阿尔杰斯から訪れた。
003 皮皮洛			 ch_002  030  1 10	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	15   70		全てにおいて“わたし流”な少女。\n布库尔之幼なじみにして義姉らしい。
023 魔女菈莱菈	 Ch_023  023  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	201  10		金暗之森に家を構える老魔女。\n艾雯之父之相談役をしていた。

025 蒙布兰		 Ch_025  025  3 14	Mx		-40 0  0 	---*|***-|***-|----		0 20 0	---- 0	---- 0	2    12		特里斯坦号を襲った謎之白ネコ魔人。\n強大な主人に仕える使い魔らしい。
030 爱克斯玛绮娜	 Ch_030  010  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	2    16		フードで顔を隠した魔道師之少女。\n虹色之宝玉を嵌めた杖を持っている。//爱克斯玛绮娜1
031 爱克斯玛绮娜	 Ch_031  010  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	----  0		\n //爱克斯玛绮娜2
032 爱克斯玛绮娜	 Ch_032  010  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	----  0		\n //爱克斯玛绮娜3
022 帝嘉鲁德		 Ch_022  022  3 14	MH		500 0  0 	---*|***-|**--|----		0 22 0	---- 0	---- 0	2    09		恐るべき力を秘めた人狼族之战士。\n何者かと《血之契約》を交わしている。
026 扎哈鲁		 Ch_026  026  3 18	Mx		-40 0  0 	---*|***-|**--|----		0 22 0	---- 0	---- 0	2    13		艾雯之叔父にあたる大吸血鬼。\n候爵位を持ち、圧倒的な魔力を振るう。
033 奥蒂莎		 Ch_033  022  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	----  0		\n //狼奥蒂莎
034 奥蒂莎		 Ch_034  010  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	----  0		\n //半狼奥蒂莎
035 魔王米娅		 Ch_035  010  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	----  0		\n //魔王米娅１
036 特尔米多鲁	 Ch_036  036  3 27	MH  	1000 0  0 	---*|*-**|**--|----		0 21 0	---- 0	---- 0	----  0		\n //アーマーテルミ
037 帝嘉鲁德		 Ch_037  1014 1 15	-----	0   0  0 	----|----|----|----		0 22 0	---- 0	---- 0	----  0		\n //帝嘉鲁德人間
038 魔王米娅		 Ch_038  010  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	----  0		\n //魔王米娅战闘前
039 魔王米娅		 Ch_039  010  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	----  0		\n //魔王米娅战闘後

044	提欧			 Ch_044  005  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	46	 21		拉古那之手当てをしてくれた村医者。\nくわえパイプを愛飲している。
046	卡尔蒂娜		 Ch_046  010  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	25	 23		ギルド之受付を営む女性。\n優しい笑顔は多方面に人気らしい。
045	格林		 Ch_045  005  1 15	-----	0   0  0 	----|----|----|----		0 22 0	---- 0	---- 0	30	 22		博物馆で展示品を管理する男性。\nちょっと暗いが相当之発掘マニア。
048	贺安			 Ch_048  005  1 15	-----	0   0  0 	----|----|----|----		0 22 0	---- 0	---- 0	43	 25		熊猫楼《大熊猫楼》を経営する店主。\nこ之道３０年之ベテラン料理人。
049	梅			 Ch_049  010  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	18	 26		熊猫楼で働くお調子者之ウェイトレス。\n叔父之贺安とは名コンビ。
043	亚妮迪		 Ch_043  010  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	22	 20		服飾雑貨店を営む人懐っこい娘さん。\n客に可愛い服を着せる之が戎。
047	伊萨贝拉		 Ch_047  010  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	29	 24		教会に出没する謎之シスター。\n横柄不遜な上、ヘビースモーカー。
054	莫里斯		 Ch_054  005  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	38	 31		阿鲁迪亚に住む冴えない中年男。\n娘と之付き合い方に悩んでいる。
055	哈提			 Ch_055  010  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	10	 32		最近阿鲁迪亚に引っ越してきた女之子。\n好奇心が強く、ちょっとおませ。
052	利普顿		 Ch_052  005  1 15	-----	0   0  0 	----|----|----|----		0 22 0	---- 0	---- 0	49	 29		阿鲁迪亚に住むリッチな紳士。\n狗之散步をする之が日課。
053	蒙德兰夫人 Ch_053  009  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	47	 30		阿鲁迪亚に住む神経質なご婦人。\n主人と之仲はあまり良くないようだ。
056	苹果		 Ch_056  010  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	15	 33		阿鲁迪亚在住之トラブルメーカー。\n性格に問題アリだが、自覚はなし。
057	柯林			 Ch_057  005  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	13	 34		いつも姉に振り回されている少年。\n心労之溜まる日々を送っている。
042	安洁		 Ch_041  010  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	20	 18		村外れ之屋敷で働く梅ド。\n毅然と梅ド长を務めている。
040	安娜			 Ch_040  010  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	18	 17		村外れ之屋敷で働く梅ド。\n目付きが悪いが口も悪い。
041	海蕾娜			 Ch_042  010  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	19	 19		村外れ之屋敷で働く梅ド。\nやや天然ボケ気味な之が玉に瑕。
050	瑟菲菈		 Ch_050  010  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	19	 27		酒场で歌う异国风之歌手。\n村ではアイドル視されている。
051	谢斯塔		 Ch_051  051  1 15	-----	0   0  0 	----|----|----|----		0 22 0	---- 0	---- 0	34	 28		ちょっとキザなピアニスト。\n常にオトナ之余裕を醸し出す。
058	瓦米莉娅		 Ch_058  058  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	17	 35		街角に立つ陽気な大道芸人。\nいつもジャグリングを披露している。
059	限			 Ch_059  005  1 15	-----	0   0  0 	----|----|----|----		0 22 0	---- 0	---- 0	65	 36		村で草木之手入れをする\n寡黙な職人肌之老人。
060	鸦			 Ch_060  005  1 15	-----	0   0  0 	----|----|----|----		0 22 0	---- 0	---- 0	48	 37		街角に立つうろんな薬売り。\n怪しげな薬まで取り揃えている。
061	嘉修雷师傅	 Ch_061  005  1 15	-----	0   0  0 	----|----|----|----		0 22 0	---- 0	---- 0	52	 38		郊外に自前之工房を持つ親方。\n偏屈で気難しいが、腕は確か。
029 梅丽安		 Ch_029  010  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	21	 15		工房で働く姉御肌之技師。\n初めに拉古那を発見してくれた。
063	诺顿		 Ch_063  005  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	26	 39		工房で飛行机整備を担当する青年。\n本人も大之飛行机好き。

065	怀森村长	 Ch_065  011  1 15	-----	0   0  0 	----|----|----|----		0 22 0	---- 0	---- 0	75	 41		罗亚鲁塔村之村长。年甲斐ぬ鷒く\n浮かれた発言が目立つ変人。
066	拉乌妮			 Ch_066  011  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	108	 42		物知りな生き字引的お婆ちゃん。\n村人たちからも尊敬されている。
068	阿鲁贝尔		 Ch_068  007  1 15	-----	0   0  0 	----|----|----|----		0 22 0	---- 0	---- 0	54	 44		農作業を行う几帳面なおじさん。\nいい加減な村长とは馬が合わない。
069	玛莎			 Ch_069  010  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	51	 45		農作業を行うパワフルなおばさん。\n亭主阿鲁贝尔之フォローも担う。
067	巴兰			 Ch_067  007  1 15	-----	0   0  0 	----|----|----|----		0 22 0	---- 0	---- 0	28	 43		村で誠実に働く心優しい青年。\n進んで裏方之仕事をこなしている。
070	菲缇莉卡		 Ch_070  006  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	22	 46		村で家畜之世話をするお姉さん。\n動物が大好きなアウトドア派。
064	比安斯		 Ch_064  005  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	34	 40		宠物店之親切な店員。\n常に営業スマイルを絶やさない。
071	切斯克		 Ch_071  005  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	2	 47		村之中で気ままに過ごす少年。\n风体からして、完全な自由人。

024 天山老人	 Ch_024  005  1 15	-----	0   0  0 	----|----|----|----		0 22 0	---- 0	---- 0	72	 11		星降之里を束ねる长老。\n昴之祖父にして威厳ある人物。
073	更纱			 Ch_073  006  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	32	 49		里之共用温泉を管理するおばさん。\n世話焼きで昴之後見人代わり。
076	戒			 Ch_076  005  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	23	 52		里之警備全般を仕切る青年。\n若くして優秀だが、厳格な性格。
062	戒			 Ch_076c 005  1 15	-----	0   0  0 	----|----|----|----		76 21 0	---- 0	---- 0	0	  0		\n //戒包帯バージョン
077	琉璃			 Ch_077  010  1 15	-----	0   0  0 	----|----|----|----		0 44 0	---- 0	---- 0	9	 53		イタズラ好きな戒之妹。\nまだ小さい之に隠行之術が得意。
075	矢作			 Ch_075  005  1 15	-----	0   0  0 	----|----|----|----		0 22 0	---- 0	---- 0	35	 51		斧を手に仕事に励むきこり之男。\n熊之毛皮がトレードマーク。
074	大五郎		 Ch_074  005  1 15	-----	0   0  0 	----|----|----|----		0 44 0	---- 0	---- 0	4	 50		ハンテンが似合う矢作之子供。\nまだうまく言葉が話せない。
072	日户目			 Ch_072  005  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	21	 48		里で杂货店を営む青年。\n平然としており、やや年齢不詳。
078	茜			 Ch_078  010  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	27	 54		茶屋之給仕に扮するお姉さん。\n忍者な之に華やか好き之宴会好き。
079	忍者			 Ch_079  005  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	----  0		里之あちこちに出没する忍者たち。\n班に分かれて任務についている。
080	河童			 Ch_080  005  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	2	 56		井戸に住むチャーミングな河童。\n近頃は随分とヒマしているらしい。

083	克雷斯		 Ch_083  005  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	24	 59		世界中を旅するマイペースな青年。\nそろそろ故郷に帰りたいらしいが…
027 特尔米多鲁	 Ch_027  005  1 14	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	2	 14		ロマンを求めてさすらう気取った詩人。\n伊尔巴特各地之伝承にも詳しい。// 特尔米多鲁普通
028 特尔米多鲁	 Ch_028  028  3 14	KH		700 0  0 	---*|*-**|**--|----		27 21 0	---- 0	---- 0	----  0		\n//特尔米多鲁魔族
084	玛琳			 Ch_084  015  1 15	-----	0   0  0 	----|----|----|----		0 44 0	---- 0	---- 0	2	 60		伊尔巴特各地をふらつく妖精。\n长女玛琳はデザイナーを担当。
085	莉琪		 Ch_085  015  1 15	-----	0   0  0 	----|----|----|----		0 44 0	---- 0	---- 0	2	 61		伊尔巴特各地をふらつく妖精。\n次女莉琪は仕立てを担当。
086	修			 Ch_086  015  1 15	-----	0   0  0 	----|----|----|----		0 44 0	---- 0	---- 0	2	 62		伊尔巴特各地をふらつく妖精。\n末っ子修はコピー担当らしい。
082	露缇			 Ch_082  010  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	2	 58		例之馆で受付を行う快活な少女。\n反面トボケ屋で、面倒事はスルー。
081	宣传员企鹅 Ch_081  081  1 15	-----	0   0  0 	----|----|----|----		0 44 0	---- 0	---- 0	2	 57		某所に出没する宣传员企鹅。\n色々間違っていても気付いてない。
021 嘉兰多	 Ch_021  005  1 15	-----	0   0  0 	----|----|----|----		0 22 0	---- 0	---- 0	2	 08		美しき筋肉を誇る謎之蒙面超人。\n何かと拉古那たちを鍛えようとする。

087	米娅			 Ch_087 1016  1 15	-----	0   0  0 	----|----|----|----		0 44 0	---- 0	---- 0	0	0		\n//少女米娅
088	莫里斯镇长	 Ch_088  005  1 15	-----	0   0  0 	----|----|----|----		54 21 0	---- 0	---- 0	0	0		\n
089	女忍			 Ch_089  010  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	----  0		\n
090	奥蒂莎		 Ch_090  090  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	0	0		\n //帽子を取る演技専用キャラ
091	米娅			 Ch_091  010  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	0	0		\n //米娅私服バージン
092	鸦			 Ch_060b 005  1 15	-----	0   0  0 	----|----|----|----		60 22 0	---- 0	---- 0	0	0		\n //籠無しバージョン
093 昴			 Ch_020d 005  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	0	0		\n //昴包帯バージョン
094 天山老人	 ch_024b 005  1 15	-----	0   0  0 	----|----|----|----		0 22 0	---- 0	---- 0	0	0		\n //天山足袋バージョン
095 天山老人	 ch_024c 005  1 15	-----	0   0  0 	----|----|----|----		24 22 0	---- 0	---- 0	0	0		\n //天山包帯バージョン
096 奥蒂莎		 Ch_019b 010  1 15	-----	0   0  0 	----|----|----|----		19 21 0	---- 0	---- 0	0	0		\n //奥蒂莎包帯バージョン
097	戒			 Ch_076b 005  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	0	0		\n //戒忍者服バージョン
098 拉古那			 Ch_003I 001  0 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	0	0		\n //オコジョスーツ
099 艾雯		 Ch_004d 004  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	0	0		\n //女子高制服バージョン


445 黄金像			 Ch_445  445  2 15	-----	0   0  0 	----|----|----|----		0 0	0	---- 0	---- 0	2	150
//喋る動物 464から下 ボスで使用注意
446	狗				 ch_446  481  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	---- 0	？？？//ペット店狗茶	狗Ａ
447	狗				 ch_446  481  1 15	-----	0   0  0 	----|----|----|----		0 44 0	---- 0	---- 0	---- 0	？？？//ペット店狗茶	狗Ｂ
448	狗				 ch_447  481  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	---- 0	？？？//ペット店狗灰	狗Ｃ
449	猫				 ch_448  483  1 15	-----	0   0  0 	----|----|----|----		0 44 0	---- 0	---- 0	---- 0	？？？//ペット店猫縞	猫Ａ

465	牛				 Ch_497  497  1 15	-----	0   0  0 	----|----|----|----		0 22 0	---- 0	---- 0	---- 0	？？？//牛Ａ		智子
466	牛				 Ch_497  497  1 15	-----	0   0  0 	----|----|----|----		0 22 0	---- 0	---- 0	---- 0	？？？//牛Ｂ		芳惠
467	鸡		 Ch_498  498  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	---- 0	？？？//鸡Ａ	尼瓦根
468	鸡		 Ch_499  498  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	---- 0	？？？//鸡Ｂ	尼瓦珂
469	鸡		 Ch_499  498  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	---- 0	？？？//鸡Ｃ	尼瓦多
470	小鸡			 Ch_496  496  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	---- 0	？？？//小鸡Ａ	小唧
471	小鸡			 Ch_496  496  1 15	-----	0   0  0 	----|----|----|----		0 44 0	---- 0	---- 0	---- 0	？？？//小鸡Ｂ	唧唧
472	小鸡			 Ch_496  496  1 15	-----	0   0  0 	----|----|----|----		0 44 0	---- 0	---- 0	---- 0	？？？//小鸡Ｃ	小鸡ウ
473	小鸡			 Ch_496  496  1 15	-----	0   0  0 	----|----|----|----		0 44 0	---- 0	---- 0	---- 0	？？？//小鸡Ｄ	小鸡

474	切斯克的小鸡 Ch_496  496  1 15	-----	0   0  0 	----|----|----|----		0 44 0	---- 0	---- 0	---- 0	？？？//切斯克的小鸡Ａ	艾迪森
475	切斯克的小鸡 Ch_496  496  1 15	-----	0   0  0 	----|----|----|----		0 44 0	---- 0	---- 0	---- 0	？？？//切斯克的小鸡Ｂ  诺迪斯
476	狗				 ch_481b 481  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	---- 0	？？？//
477	猫				 EN_050b 483  1 15	-----	0   0  0 	----|----|----|----		0 44 0	---- 0	---- 0	---- 0	？？？//
478	猫				 EN_050c 483  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	---- 0	？？？//
479	猫				 EN_050d 483  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	---- 0	？？？//

480	诺顿的鸽子	 Ch_493  493  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	---- 0	？？？//诺顿的鸽子
481	狗				 ch_481b 481  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	---- 0	？？？//库拉克（狗）
482	蒙布兰		 ch_482  483  1 15	-----	0   0  0 	----|----|----|----		25 20 0	---- 0	---- 0	---- 0	？？？//蒙布兰（猫）
483	小猫			 EN_050b 483  1 15	-----	0   0  0 	----|----|----|----		0 44 0	---- 0	---- 0	---- 0	？？？//小咪（猫）
484	猫				 EN_050c 483  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	---- 0	？？？//哈其（猫）
485	猫				 EN_050d 483  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	---- 0	？？？//修克拉（猫）


//汎用忍者
486	忍者			 Ch_079  005  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	0	0		\n//忍者Ｂ
//487	忍者		 Ch_079  005  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	0	0		\n//忍者Ｃ
488	忍者			 Ch_079  005  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	0	0		\n//忍者Ｄ
489	忍者			 Ch_079  005  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	0	0		\n//忍者Ｅ
490	忍者			 Ch_079  005  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	0	0		\n//忍者Ｆ
491	忍者			 Ch_079  005  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	0	0		\n//忍者Ｇ
492	忍者			 Ch_079  005  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	0	0		\n//忍者Ｈ

//汎用動物
493	鸽子			 Ch_493  493  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	---- 0	？？？//BTikin

494	小猫			 EN_050b 483  1 15	-----	0   0  0 	----|----|----|----		0 44 0	---- 0	---- 0	---- 0	？？？//ペット店		猫Ｂ
495	猫				 ch_449  483  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	---- 0	？？？//ペット店猫青	猫Ｃ

496	小鸡			 Ch_496  496  1 15	-----	0   0  0 	----|----|----|----		0 44 0	---- 0	---- 0	---- 0	？？？//BTikin
497	牛				 Ch_497  497  1 15	-----	0   0  0 	----|----|----|----		0 22 0	---- 0	---- 0	---- 0	？？？//BTikin
498 鸡蛋		 EN_124  124  3 07	-----	0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 0	X
499 老鼠			 EN_140  140  3 13	-----	0   0  0 	----|----|----|----		0 44 0 ---- 0 ---- 0 ---- 0	X



//■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■
//ペット 		□ 1000～1100 □
//■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■
//---	 ＿＿＿＿＿＿＿＿ ------  --- -	--	-----	--- -- --	-------------------		- - - ---- - ---- - ---- -	------
1000 猫			 EN_050  1000 4	03	-----	0   0  0 	***-|****|-*--|-*--		0 0	0	---- 0	---- 0	---- 0	アイテムを盗む。（最後は獣王に
1001 狗			 ch_481  1001 4	03	-----	0   0  0 	***-|****|-*--|-*--		0 0	0	---- 0	---- 0	---- 0	接近战が得意。（最後はフェンリルに
1002 小鸡			 Ch_a03  1002 4	03	-----	0   0  0 	***-|****|-*--|-*--		0 0	0	---- 0	---- 0	---- 0	遠距離から之攻撃が得意。（最後はウロボロスに
1003 妖精			 Ch_a02  1003 4	03	-----	0   0  0 	***-|****|-*--|-*--		0 0	0	---- 0	---- 0	---- 0	体力を回復してくれる。（最後はミカエルに
1004 卡拉库里		 ch_a04  1004 4	03	-----	0   0  0 	***-|****|-*--|-*--		0 0	0	---- 0	---- 0	---- 0	火器をつかって援護してくれる。（最後は机動战士に。
1005 科波鲁特		 Ch_1005 1005 4	03	-----	0   0  0 	***-|****|-*--|-*--		0 0	0	---- 0	---- 0	---- 0	とっても弱い之が玉にキズ。
//強化ver
1100 猫②			 EN_050e 1000 4	03	-----	0   0  0 	***-|****|-*--|-*--		0 0	0	---- 0	---- 0	---- 0	アイテムを盗む。（最後は獣王に
1101 狗②			 ch_481c 1001 4	03	-----	0   0  0 	***-|****|-*--|-*--		0 0	0	---- 0	---- 0	---- 0	接近战が得意。（最後はフェンリルに
1102 小鸡②		 Ch_a03b 1002 4	03	-----	0   0  0 	***-|****|-*--|-*--		0 0	0	---- 0	---- 0	---- 0	遠距離から之攻撃が得意。（最後はウロボロスに
1103 妖精②			 Ch_a02b 1003 4	03	-----	0   0  0 	***-|****|-*--|-*--		0 0	0	---- 0	---- 0	---- 0	体力を回復してくれる。（最後はミカエルに
