/////////////////////////////////////////////////////////////////////////////////////////////////////
/////キャラクター定義//////////

#CharTable
//■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■
//主人公	? 0～19 ?
//■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■
//
//　　　　　　　　　　　　　　　　　　※※　キャラ手帳の並びと合わせて、順を変更しました。　※※
//
//					 フ		  モ		属性
//					 ァ		  ｜							前  |弾氷|noTt|noUV		経	  |
//					 イ		  ??  ? レ			H O	D		後  |Down|noCL|noAr		験	金|アイテム(NO＋1000％)
//	名				 ル		  ン  ? ベ			P P P		上  |Up  |mMAP|noEF		値金個|①		②		③
//	前				 名		  NO  ??ル			％＋＋		??? |STAN|noDW|noMV		％％数|NO％	NO％	NO％			説明
//――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
///	名前（８文字） 	 FILE	 Mot  T LV	属性	HP  OP DP	防御|????|状態|予約		EPGPGcITEM % ITEM %	ITEM %			説明（６４文字）
012 奥蒂莎		 Ch_019  019  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	----  0		\n //仲間用2?帽子かぶった状態

013 奥蒂莎		 Ch_033  013  1 15	-----	0   0  0 	---*|****|**--|----		0 21 0	---- 0	---- 0	----  0		\n //仲間用3?帽子かぶった状態
015 露			 Ch_015  015  1 15	-----	0   0  0 	----|----|----|----		0 44 0	---- 0	---- 0	15	 03		艾雯的使魔，黑暗妖精。\n毒舌家、把拉古那当作眼中钉。
020 昴			 Ch_020  010  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	14	 07		做了拉古那徒弟的忍者小孩。\n非常努力、不过尚在修行中。
019 奥蒂莎		 Ch_019  010  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	24	 06		精明能干的专拿赏金的财宝猎人。\n拥有《饿狼狩猎者》这样令人惧怕的称号。
014 艾雯		 Ch_004l 2004 3 21	G2		400 0  0 	----|*-*-|**--|----		0 20 0	---- 0	---- 0	---   0		\n //ダーク艾雯
016 菲奥娜		 Ch_016  010  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	18	 04		住在城外屋子里的小姐。\n样子弱不禁风、可总散发着让人凛然的气氛。
017 菲奥娜		 Ch_017  017  1 15	-----	0   0  0 	----|----|----|----		16 20 0	---- 0	---- 0	----  0		\n //武装菲奥娜
018 管家克劳德	 Ch_018  005  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	25	 05		菲奥娜的秘书，带眼镜的青年。\n有着言谈谨慎，认真冷静沉着的性格。
002 布库尔		 Ch_001  002  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	15   69		立志成为财宝猎人的少年。\n从辺境的浮遊岛阿鲁吉斯来到这里。
003 皮皮洛			 ch_002  030  1 10	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	15   70		完全的“自我流”少女。\n布库尔的青梅竹马，义姐。
023 魔女菈莱菈	 Ch_023  023  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	201  10		住在金暗之森的年老魔女。\n艾雯父亲的参谋？。

025 蒙布兰		 Ch_025  025  3 14	Mx		-40 0  0 	---*|***-|***-|----		0 20 0	---- 0	---- 0	2    12		袭击了托里斯坦号的谜之白猫魔人。\n好像是为强大主人服务的使魔。
030 爱克斯玛绮娜	 Ch_030  010  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	2    16		一直遮住脸的魔道师少女。\n手持镶有虹色宝玉的法杖。//爱克斯玛绮娜1
031 爱克斯玛绮娜	 Ch_031  010  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	----  0		\n //爱克斯玛绮娜2
032 爱克斯玛绮娜	 Ch_032  010  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	----  0		\n //爱克斯玛绮娜3
022 帝嘉鲁德		 Ch_022  022  3 14	MH		500 0  0 	---*|***-|**--|----		0 22 0	---- 0	---- 0	2    09		隐藏了恐怖力量的人狼族战士。\n和什么人交换了《血之契约》。
026 扎哈鲁		 Ch_026  026  3 18	Mx		-40 0  0 	---*|***-|**--|----		0 22 0	---- 0	---- 0	2    13		艾雯的叔父，大吸血鬼。\n持有候爵位、拥有压倒性的魔力。
033 奥蒂莎		 Ch_033  022  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	----  0		\n //狼奥蒂莎
034 奥蒂莎		 Ch_034  010  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	----  0		\n //半狼奥蒂莎
035 魔王米娅		 Ch_035  010  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	----  0		\n //魔王米娅１
036 特尔米多鲁	 Ch_036  036  3 27	MH  	1000 0  0 	---*|*-**|**--|----		0 21 0	---- 0	---- 0	----  0		\n //アーマーテルミ
037 帝嘉鲁德		 Ch_037  1014 1 15	-----	0   0  0 	----|----|----|----		0 22 0	---- 0	---- 0	----  0		\n //帝嘉鲁德人間
038 魔王米娅		 Ch_038  010  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	----  0		\n //魔王米娅戦闘前
039 魔王米娅		 Ch_039  010  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	----  0		\n //魔王米娅戦闘後

044	提欧			 Ch_044  005  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	46	 21		帮拉古那治疗的镇里的医生。\n喜欢叼着吸管喝饮料。
046	卡尔蒂娜		 Ch_046  010  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	25	 23		猎人协会的前台ＭＭ。\n笑容很和善，好像很受欢迎。
045	格林		 Ch_045  005  1 15	-----	0   0  0 	----|----|----|----		0 22 0	---- 0	---- 0	30	 22		管理博物馆展品的男性。\n暗地里有着接近发狂的收集古物的嗜好。
048	贺安			 Ch_048  005  1 15	-----	0   0  0 	----|----|----|----		0 22 0	---- 0	---- 0	43	 25		经营酒店《大熊猫楼》的店主。\n入此行已有３０年的老手厨师。
049	梅			 Ch_049  010  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	18	 26		在酒店工作的粗心大意的女服务员。\n是叔父勋的好帮手。
043	亚妮迪		 Ch_043  010  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	22	 20		经营服饰杂货店的和蔼可亲的女子。\n有让顾客穿上可爱衣服的嗜好。
047	伊萨贝拉		 Ch_047  010  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	29	 24		在教会出没的神秘的女子。\n说话很不谦虚、是个烟鬼。
054	莫里斯		 Ch_054  005  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	38	 31		住在阿鲁斯镇的的呆头呆脑的中年男人。\n对跟女孩子打交道方面很苦手。
055	哈提			 Ch_055  010  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	10	 32		最近才搬来阿鲁斯镇的女孩子。\n好奇心非常强、有点早熟。
052	利普顿		 Ch_052  005  1 15	-----	0   0  0 	----|----|----|----		0 22 0	---- 0	---- 0	49	 29		住在阿鲁斯镇的绅士。\n每天都会带着狗散步。
053	蒙德雷安夫人 Ch_053  009  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	47	 30		住在阿鲁斯镇有点神经质的妇人。\n和丈夫的关系好像有点紧张。
056	苹果		 Ch_056  010  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	15	 33		住在阿鲁斯镇的问题制造者。\n性格很有问题、不过没有一点自觉。
057	柯林			 Ch_057  005  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	13	 34		一直被姐姐玩弄的少年。\n每天都心力交瘁的样子。
042	安洁		 Ch_041  010  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	20	 18		镇外大屋里的女仆。\n毅然担任了女仆长的职务。
040	安娜			 Ch_040  010  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	18	 17		镇外大屋里的女仆。\n眼神坏还很没口德。
041	海伦娜			 Ch_042  010  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	19	 19		镇外大屋里的女仆。\n美中不足的是有点天然呆。
050	瑟斐拉		 Ch_050  010  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	19	 27		在酒馆里唱异国风味歌曲的歌手。\n在城镇中被当作偶像看待。
051	谢斯塔		 Ch_051  051  1 15	-----	0   0  0 	----|----|----|----		0 22 0	---- 0	---- 0	34	 28		有点装模作样的钢琴家。\n经常装出很游刃有余的样子。
058	瓦米莉娅		 Ch_058  058  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	17	 35		在街头卖艺的快乐艺人。\n总在向人宣传着竖笛。
059	限			 Ch_059  005  1 15	-----	0   0  0 	----|----|----|----		0 22 0	---- 0	---- 0	65	 36		镇上的园丁\n沉默寡言的有着手艺人的皮肤的老人。
060	鸦			 Ch_060  005  1 15	-----	0   0  0 	----|----|----|----		0 22 0	---- 0	---- 0	48	 37		站立在街角的卖药人。\n各种古怪的药都能从他那买到。
061	格苏雷师傅	 Ch_061  005  1 15	-----	0   0  0 	----|----|----|----		0 22 0	---- 0	---- 0	52	 38		在郊外有自己的工房的师傅。\n性格乖僻很难相处、不过确实很有能力。
029 梅丽安		 Ch_029  010  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	21	 15		在工房工作大姐头一样的技师。\n是她最先发现了拉古那。
063	诺顿		 Ch_063  005  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	26	 39		工房中主管飞行器整备的青年。\n本人也是个大飞行器迷。

065	怀森村长	 Ch_065  011  1 15	-----	0   0  0 	----|----|----|----		0 22 0	---- 0	---- 0	75	 41		罗阿鲁塔村的村长。看不出上了年纪的样子\n会做出莫名其妙发言的古怪的人。
066	拉乌妮			 Ch_066  011  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	108	 42		知识渊博仿佛活字典的老婆婆。\n村民们很尊敬她。
068	阿鲁贝尔		 Ch_068  007  1 15	-----	0   0  0 	----|----|----|----		0 22 0	---- 0	---- 0	54	 44		规规矩矩的干农活的叔叔。\n和村长不怎么合得来。
069	玛莎			 Ch_069  010  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	51	 45		干农活的很有活力的阿姨。\n总是跟随着丈夫阿鲁贝鲁。
067	巴兰			 Ch_067  007  1 15	-----	0   0  0 	----|----|----|----		0 22 0	---- 0	---- 0	28	 43		村子中的诚实和善的青年。\n做贵夫人的管家的工作。
070	菲德瑞卡		 Ch_070  006  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	22	 46		村子中照料家畜的大姐姐。\n非常喜欢野生动物。
064	比安斯		 Ch_064  005  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	34	 40		宠物商店的亲切的店员。\n营业时永远保持着微笑。
071	切斯克		 Ch_071  005  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	2	 47		在村里无所事事的少年。\n完全的自由人。

024 天山老人	 Ch_024  005  1 15	-----	0   0  0 	----|----|----|----		0 22 0	---- 0	---- 0	72	 11		星降之里的长老。\n昴的祖父，是个非常威严的老人。
073	更纱			 Ch_073  006  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	32	 49		村落中管理公用温泉的阿姨。\n是没见过世面的昴代理监护人。
076	戒			 Ch_076  005  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	23	 52		村落中负责各种警备的青年。\n年轻优秀、不过性格有点过于严格。
062	戒			 Ch_076c 005  1 15	-----	0   0  0 	----|----|----|----		76 21 0	---- 0	---- 0	0	  0		\n //贝包帯バージョン
077	琉璃			 Ch_077  010  1 15	-----	0   0  0 	----|----|----|----		0 44 0	---- 0	---- 0	9	 53		喜欢胡闹的贝的妹妹。\n虽然还小，不过很擅长隐形之术。
075	矢作			 Ch_075  005  1 15	-----	0   0  0 	----|----|----|----		0 22 0	---- 0	---- 0	35	 51		手持斧头职业是樵夫的男人。\n熊的毛皮是他的标志。
074	大五郎		 Ch_074  005  1 15	-----	0   0  0 	----|----|----|----		0 44 0	---- 0	---- 0	4	 50		总是呆在饭店中的亚萨科的孩子。\n还不太会说话。
072	日户目			 Ch_072  005  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	21	 48		村落中经营杂货铺的青年。\n总是很冷静、年龄不详。
078	茜			 Ch_078  010  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	27	 54		茶屋中的服务生姐姐。\n喜欢办华丽的宴会的忍者……。
079	忍者			 Ch_079  005  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	----  0		村落中神出鬼没的忍者们。\n以班为单位执行任务。
080	河童			 Ch_080  005  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	2	 56		住在井中很有活力的河童。\n最近好像相当无聊。

083	克雷斯		 Ch_083  005  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	24	 59		全世界旅行的我行我素的青年。\n好像打算返回故乡…
027 特尔米多鲁	 Ch_027  005  1 14	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	2	 14		浪漫的流浪诗人。\n在伊路帕托各地都有很大名气。// 特尔米多鲁普通
028 特尔米多鲁	 Ch_028  028  3 14	KH		700 0  0 	---*|*-**|**--|----		27 21 0	---- 0	---- 0	----  0		\n//特尔米多鲁魔族
084	玛琳			 Ch_084  015  1 15	-----	0   0  0 	----|----|----|----		0 44 0	---- 0	---- 0	2	 60		伊路帕托各地游荡的妖精。\n长女玛瑞恩负责设计衣服。
085	莉琪		 Ch_085  015  1 15	-----	0   0  0 	----|----|----|----		0 44 0	---- 0	---- 0	2	 61		伊路帕托各地游荡的妖精。\n次女瑞奇负责制作衣服。
086	乔伊			 Ch_086  015  1 15	-----	0   0  0 	----|----|----|----		0 44 0	---- 0	---- 0	2	 62		伊路帕托各地游荡的妖精。\n最小的女儿乔伊负责宣传。
082	露缇			 Ch_082  010  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	2	 58		例之馆中负责接待的乐堂刨女。\n反面トボケ屋で、面倒事はスルー。
081	宣传企鹅娘 Ch_081  081  1 15	-----	0   0  0 	----|----|----|----		0 44 0	---- 0	---- 0	2	 57		某处出没的招徕顾客的宣传员企鹅。\n经常把事情搞错，自己却注意不到。
021 嘉兰多	 Ch_021  005  1 15	-----	0   0  0 	----|----|----|----		0 22 0	---- 0	---- 0	2	 08		总是夸耀他那美丽的肌肉的蒙面超人。\n总是找些莫名其妙的方法锻炼拉古那他们。

087	米娅			 Ch_087 1016  1 15	-----	0   0  0 	----|----|----|----		0 44 0	---- 0	---- 0	0	0		\n//少女米娅
088	莫里斯町長	 Ch_088  005  1 15	-----	0   0  0 	----|----|----|----		54 21 0	---- 0	---- 0	0	0		\n
089	女忍			 Ch_089  010  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	----  0		\n
090	奥蒂莎		 Ch_090  090  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	0	0		\n //帽子を取る演技専用キャラ
091	米娅			 Ch_091  010  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	0	0		\n //米娅私服バージン
092	鸦			 Ch_060b 005  1 15	-----	0   0  0 	----|----|----|----		60 22 0	---- 0	---- 0	0	0		\n //籠無しバージョン
093 昴			 Ch_020d 005  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	0	0		\n //昴包帯バージョン
094 天山老人	 ch_024b 005  1 15	-----	0   0  0 	----|----|----|----		0 22 0	---- 0	---- 0	0	0		\n //藤藏足袋バージョン
095 天山老人	 ch_024c 005  1 15	-----	0   0  0 	----|----|----|----		24 22 0	---- 0	---- 0	0	0		\n //藤藏包帯バージョン
096 奥蒂莎		 Ch_019b 010  1 15	-----	0   0  0 	----|----|----|----		19 21 0	---- 0	---- 0	0	0		\n //奥蒂莎包帯バージョン
097	戒			 Ch_076b 005  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	0	0		\n //贝忍者服バージョン
098 拉古那			 Ch_003I 001  0 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	0	0		\n //オコジョスーツ
099 艾雯		 Ch_004d 004  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	0	0		\n //女子高制服バージョン

2100 艾雯		 Ch_004c 004  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	0	0		\n //jiacat泳装
2101 艾雯		 Ch_016 004  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	0	0		\n //jiacat菲奥娜模式
2102 艾雯		 Ch_004b 004  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	0	0		\n //jiacat红发模式
2103 艾雯		 Ch_091 004  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	0	0		\n //jiacat米娅模式
2104 艾雯		 Ch_041 004  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	0	0		\n //jiacat女仆模式
//从这里开始有32个
2105 艾雯		 Ch_046 004  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	0	0		\n //jiacat卡露迪娜
2106 艾雯		 Ch_034 004  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	0	0		\n //jiacat奥蒂莎仲間用
2107 艾雯		 Ch_020 004  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	0	0		\n //jiacat昴仲間用
2108 艾雯		 Ch_091 004  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	0	0		\n //jiacat米娅仲間用
2109 艾雯		 ch_002 004  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	0	0		\n //jiacat皮皮洛仲間用
2110 艾雯		 Ch_023 004  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	0	0		\n //jiacat魔女菈莱菈
2111 艾雯		 Ch_030 004  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	0	0		\n //jiacat爱克斯玛绮娜
2112 艾雯		 Ch_035 004  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	0	0		\n //jiacat魔王米娅
2113 艾雯		 Ch_049 004  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	0	0		\n //jiacat梅
2114 艾雯		 Ch_043 004  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	0	0		\n //jiacat阿蕾托
2115 艾雯		 Ch_047 004  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	0	0		\n //jiacat伊萨贝拉
2116 艾雯		 Ch_055 004  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	0	0		\n //jiacat哈提
2117 艾雯		 Ch_053 004  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	0	0		\n //jiacat蒙德雷安夫人
2118 艾雯		 Ch_040 004  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	0	0		\n //jiacat安娜
2119 艾雯		 Ch_042 004  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	0	0		\n //jiacat海伦娜
2120 艾雯		 Ch_050 004  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	0	0		\n //jiacat瑟斐拉
2121 艾雯		 Ch_029 004  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	0	0		\n //jiacat米瑞姆
2122 艾雯		 Ch_070 004  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	0	0		\n //jiacat菲德瑞卡
2123 艾雯		 Ch_077 004  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	0	0		\n //jiacat露莉
2124 艾雯		 Ch_078 004  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	0	0		\n //jiacat茜
2125 艾雯		 Ch_084 004  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	0	0		\n //jiacat玛瑞恩
2126 艾雯		 Ch_085 004  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	0	0		\n //jiacat瑞奇
2127 艾雯		 Ch_086 004  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	0	0		\n //jiacat乔伊
2128 艾雯		 Ch_082 004  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	0	0		\n //jiacat洛缇
2129 艾雯		 Ch_081 004  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	0	0		\n //jiacat拉客的宣传企鹅
2130 艾雯		 Ch_021 004  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	0	0		\n //jiacat嘉兰多
2131 艾雯		 Ch_020d 004  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	0	0		\n //jiacat昴包帯バージョン
2132 艾雯		 ch_033 004  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	0	0		\n //jiacat狼奥蒂莎
2133 艾雯		 ch_034b 004  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	0	0		\n //jiacat水着奥蒂莎
2134 艾雯		 ch_038 004  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	0	0		\n //jiacat魔王米娅戦闘前
2135 艾雯		 ch_039 004  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	0	0		\n //jiacat魔王米娅戦闘後
2136 艾雯		 ch_020c 004  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	0	0		\n //jiacat昴浴衣

445 黄金像			 Ch_445  445  2 15	-----	0   0  0 	----|----|----|----		0 0	0	---- 0	---- 0	2	150
//喋る動物 464から下 ボスで使用注意
446	犬				 ch_446  481  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	---- 0	？？？//ペット店犬茶	犬Ａ
447	犬				 ch_446  481  1 15	-----	0   0  0 	----|----|----|----		0 44 0	---- 0	---- 0	---- 0	？？？//ペット店犬茶	犬Ｂ
448	犬				 ch_447  481  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	---- 0	？？？//ペット店犬灰	犬Ｃ
449	猫				 ch_448  483  1 15	-----	0   0  0 	----|----|----|----		0 44 0	---- 0	---- 0	---- 0	？？？//ペット店猫縞	猫Ａ

465	牛				 Ch_497  497  1 15	-----	0   0  0 	----|----|----|----		0 22 0	---- 0	---- 0	---- 0	？？？//牛Ａ		さちこ
466	牛				 Ch_497  497  1 15	-----	0   0  0 	----|----|----|----		0 22 0	---- 0	---- 0	---- 0	？？？//牛Ｂ		よしえ
467	鸡		 Ch_498  498  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	---- 0	？？？//鸡Ａ	ニワゴン
468	鸡		 Ch_499  498  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	---- 0	？？？//鸡Ｂ	ニワコ
469	鸡		 Ch_499  498  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	---- 0	？？？//鸡Ｃ	ニワート
470	鸡仔			 Ch_496  496  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	---- 0	？？？//鸡仔Ａ	ヒヨッコ
471	鸡仔			 Ch_496  496  1 15	-----	0   0  0 	----|----|----|----		0 44 0	---- 0	---- 0	---- 0	？？？//鸡仔Ｂ	ヒヨヒヨ
472	鸡仔			 Ch_496  496  1 15	-----	0   0  0 	----|----|----|----		0 44 0	---- 0	---- 0	---- 0	？？？//鸡仔Ｃ	鸡仔ウ
473	鸡仔			 Ch_496  496  1 15	-----	0   0  0 	----|----|----|----		0 44 0	---- 0	---- 0	---- 0	？？？//鸡仔Ｄ	鸡仔

474	切斯克的鸡仔 Ch_496  496  1 15	-----	0   0  0 	----|----|----|----		0 44 0	---- 0	---- 0	---- 0	？？？//切斯克的鸡仔Ａ	アンデルセン
475	切斯克的鸡仔 Ch_496  496  1 15	-----	0   0  0 	----|----|----|----		0 44 0	---- 0	---- 0	---- 0	？？？//切斯克的鸡仔Ｂ  ノトルファス
476	犬				 ch_481b 481  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	---- 0	？？？//
477	猫				 EN_050b 483  1 15	-----	0   0  0 	----|----|----|----		0 44 0	---- 0	---- 0	---- 0	？？？//
