/////////////////////////////////////////////////////////////////////////////////////////////////////
/////キャラクター定義//////////

#CharTable
//■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■
//主人公	≪ 0～19 ≫
//■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■
//
//　　　　　　　　　　　　　　　　　　※※　キャラ手帳の並びと合わせて、順を変更しました。　※※
//
//					 フ		  モ		属性
//					 ァ		  ｜							前  |弾氷|noTt|noUV		経	  |
//					 イ		  ｼｮ  ﾀ レ			H O	D		後  |Down|noCL|noAr		験	金|アイテム(NO＋1000％)
//	名				 ル		  ン  ｲ ベ			P P P		上  |Up  |mMAP|noEF		値金個|①		②		③
//	前				 名		  NO  ﾌﾟル			％＋＋		ﾉｯｸ |STAN|noDW|noMV		％％数|NO％	NO％	NO％			説明
//――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
///	名前（８文字） 	 FILE	 Mot  T LV	属性	HP  OP DP	防御|ﾀﾞｳﾝ|状態|予約		EPGPGcITEM % ITEM %	ITEM %			説明（６４文字）
003 ピピロ			 ch_002  030  1 10	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	15   70		全てにおいて“わたし流”な少女。\nポックルの幼なじみにして義姉らしい。
023 魔女ラーライラ	 Ch_023  023  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	201  10		金闇の森に家を構える老魔女。\nアルウェンの父の相談役をしていた。

025 モンブラン		 Ch_025  025  3 14	Mx		-40 0  0 	---*|***-|***-|----		0 20 0	---- 0	---- 0	2    12		トリスタン号を襲った謎の白ネコ魔人。\n強大な主人に仕える使い魔らしい。
030 エクスマキナ	 Ch_030  010  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	2    16		フードで顔を隠した魔道師の少女。\n虹色の宝玉を嵌めた杖を持っている。//エクスマキナ1
031 エクスマキナ	 Ch_031  010  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	----  0		\n //エクスマキナ2
032 エクスマキナ	 Ch_032  010  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	----  0		\n //エクスマキナ3
022 ダイガルド		 Ch_022  022  3 14	MH		500 0  0 	---*|***-|**--|----		0 22 0	---- 0	---- 0	2    09		恐るべき力を秘めた人狼族の戦士。\n何者かと《血の契約》を交わしている。
026 ザハール		 Ch_026  026  3 18	Mx		-40 0  0 	---*|***-|**--|----		0 22 0	---- 0	---- 0	2    13		アルウェンの叔父にあたる大吸血鬼。\n候爵位を持ち、圧倒的な魔力を振るう。
033 オデッサ		 Ch_033  022  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	----  0		\n //狼オデッサ
034 オデッサ		 Ch_034  010  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	----  0		\n //半狼オデッサ
035 魔王ミア		 Ch_035  010  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	----  0		\n //魔王ミア１
036 テルミドール	 Ch_036  036  3 27	MH  	1000 0  0 	---*|*-**|**--|----		0 21 0	---- 0	---- 0	----  0		\n //アーマーテルミ
037 ダイガルド		 Ch_037  1014 1 15	-----	0   0  0 	----|----|----|----		0 22 0	---- 0	---- 0	----  0		\n //ダイガルド人間
038 魔王ミア		 Ch_038  010  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	----  0		\n //魔王ミア戦闘前
039 魔王ミア		 Ch_039  010  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	----  0		\n //魔王ミア戦闘後

044	テオ			 Ch_044  005  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	46	 21		ラグナの手当てをしてくれた町医者。\nくわえパイプを愛飲している。
046	カルディナ		 Ch_046  010  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	25	 23		ギルドの受付を営む女性。\n優しい笑顔は多方面に人気らしい。
045	グレイン		 Ch_045  005  1 15	-----	0   0  0 	----|----|----|----		0 22 0	---- 0	---- 0	30	 22		博物館で展示品を管理する男性。\nちょっと暗いが相当の発掘マニア。
048	ホアン			 Ch_048  005  1 15	-----	0   0  0 	----|----|----|----		0 22 0	---- 0	---- 0	43	 25		宿酒場《大熊猫楼》を経営する店主。\nこの道３０年のベテラン料理人。
049	メイ			 Ch_049  010  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	18	 26		宿酒場で働くお調子者のウェイトレス。\n叔父のホアンとは名コンビ。
043	アネット		 Ch_043  010  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	22	 20		服飾雑貨店を営む人懐っこい娘さん。\n客に可愛い服を着せるのが趣味。
047	イザベラ		 Ch_047  010  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	29	 24		教会に出没する謎のシスター。\n横柄不遜な上、ヘビースモーカー。
054	モーリス		 Ch_054  005  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	38	 31		アルッテに住む冴えない中年男。\n娘との付き合い方に悩んでいる。
055	ハティ			 Ch_055  010  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	10	 32		最近アルッテに引っ越してきた女の子。\n好奇心が強く、ちょっとおませ。
052	リプトン		 Ch_052  005  1 15	-----	0   0  0 	----|----|----|----		0 22 0	---- 0	---- 0	49	 29		アルッテに住むリッチな紳士。\n犬の散歩をするのが日課。
053	モンドレアン夫人 Ch_053  009  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	47	 30		アルッテに住む神経質なご婦人。\n主人との仲はあまり良くないようだ。
056	アップル		 Ch_056  010  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	15	 33		アルッテ在住のトラブルメーカー。\n性格に問題アリだが、自覚はなし。
057	コリン			 Ch_057  005  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	13	 34		いつも姉に振り回されている少年。\n心労の溜まる日々を送っている。
042	エンジェ		 Ch_041  010  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	20	 18		町外れの屋敷で働くメイド。\n毅然とメイド長を務めている。
040	アンナ			 Ch_040  010  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	18	 17		町外れの屋敷で働くメイド。\n目付きが悪いが口も悪い。
041	ヘレナ			 Ch_042  010  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	19	 19		町外れの屋敷で働くメイド。\nやや天然ボケ気味なのが玉に瑕。
050	セフィーラ		 Ch_050  010  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	19	 27		酒場で歌う異国風の歌手。\n町ではアイドル視されている。
051	シェスター		 Ch_051  051  1 15	-----	0   0  0 	----|----|----|----		0 22 0	---- 0	---- 0	34	 28		ちょっとキザなピアニスト。\n常にオトナの余裕を醸し出す。
058	バーミリア		 Ch_058  058  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	17	 35		街角に立つ陽気な大道芸人。\nいつもジャグリングを披露している。
059	ゲン			 Ch_059  005  1 15	-----	0   0  0 	----|----|----|----		0 22 0	---- 0	---- 0	65	 36		町で草木の手入れをする\n寡黙な職人肌の老人。
060	カラス			 Ch_060  005  1 15	-----	0   0  0 	----|----|----|----		0 22 0	---- 0	---- 0	48	 37		街角に立つうろんな薬売り。\n怪しげな薬まで取り揃えている。
061	ガシュレー親方	 Ch_061  005  1 15	-----	0   0  0 	----|----|----|----		0 22 0	---- 0	---- 0	52	 38		郊外に自前の工房を持つ親方。\n偏屈で気難しいが、腕は確か。
029 ミリアム		 Ch_029  010  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	21	 15		工房で働く姉御肌の技師。\n初めにラグナを発見してくれた。
063	ノートン		 Ch_063  005  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	26	 39		工房で飛行機整備を担当する青年。\n本人も大の飛行機好き。

065	ワイゼン村長	 Ch_065  011  1 15	-----	0   0  0 	----|----|----|----		0 22 0	---- 0	---- 0	75	 41		ロアルタ村の村長。年甲斐も無く\n浮かれた発言が目立つ変人。
066	ラウニ			 Ch_066  011  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	108	 42		物知りな生き字引的お婆ちゃん。\n村人たちからも尊敬されている。
068	アルベール		 Ch_068  007  1 15	-----	0   0  0 	----|----|----|----		0 22 0	---- 0	---- 0	54	 44		農作業を行う几帳面なおじさん。\nいい加減な村長とは馬が合わない。
069	マーサ			 Ch_069  010  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	51	 45		農作業を行うパワフルなおばさん。\n亭主アルベールのフォローも担う。
067	バラン			 Ch_067  007  1 15	-----	0   0  0 	----|----|----|----		0 22 0	---- 0	---- 0	28	 43		村で誠実に働く心優しい青年。\n進んで裏方の仕事をこなしている。
070	フェデリカ		 Ch_070  006  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	22	 46		村で家畜の世話をするお姉さん。\n動物が大好きなアウトドア派。
064	ビアンス		 Ch_064  005  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	34	 40		ペットショップの親切な店員。\n常に営業スマイルを絶やさない。
071	チェスク		 Ch_071  005  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	2	 47		村の中で気ままに過ごす少年。\n風体からして、完全な自由人。

024 テンザン老人	 Ch_024  005  1 15	-----	0   0  0 	----|----|----|----		0 22 0	---- 0	---- 0	72	 11		星降りの里を束ねる長老。\nスバルの祖父にして威厳ある人物。
073	サラサ			 Ch_073  006  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	32	 49		里の共用温泉を管理するおばさん。\n世話焼きでスバルの後見人代わり。
076	カイ			 Ch_076  005  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	23	 52		里の警備全般を仕切る青年。\n若くして優秀だが、厳格な性格。
062	カイ			 Ch_076c 005  1 15	-----	0   0  0 	----|----|----|----		76 21 0	---- 0	---- 0	0	  0		\n //カイ包帯バージョン
077	ルリ			 Ch_077  010  1 15	-----	0   0  0 	----|----|----|----		0 44 0	---- 0	---- 0	9	 53		イタズラ好きなカイの妹。\nまだ小さいのに隠行の術が得意。
075	ヤサク			 Ch_075  005  1 15	-----	0   0  0 	----|----|----|----		0 22 0	---- 0	---- 0	35	 51		斧を手に仕事に励むきこりの男。\n熊の毛皮がトレードマーク。
074	ダイゴロー		 Ch_074  005  1 15	-----	0   0  0 	----|----|----|----		0 44 0	---- 0	---- 0	4	 50		ハンテンが似合うヤサクの子供。\nまだうまく言葉が話せない。
072	ヒコメ			 Ch_072  005  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	21	 48		里でよろず屋を営む青年。\n平然としており、やや年齢不詳。
078	アカネ			 Ch_078  010  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	27	 54		茶屋の給仕に扮するお姉さん。\n忍びなのに華やか好きの宴会好き。
079	忍び			 Ch_079  005  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	----  0		里のあちこちに出没する忍びたち。\n班に分かれて任務についている。
080	カッパ			 Ch_080  005  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	2	 56		井戸に住むチャーミングなカッパ。\n近頃は随分とヒマしているらしい。

083	クレース		 Ch_083  005  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	24	 59		世界中を旅するマイペースな青年。\nそろそろ故郷に帰りたいらしいが…
027 テルミドール	 Ch_027  005  1 14	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	2	 14		ロマンを求めてさすらう気取った詩人。\nイルバード各地の伝承にも詳しい。// テルミドール普通
028 テルミドール	 Ch_028  028  3 14	KH		700 0  0 	---*|*-**|**--|----		27 21 0	---- 0	---- 0	----  0		\n//テルミドール魔族
084	マリン			 Ch_084  015  1 15	-----	0   0  0 	----|----|----|----		0 44 0	---- 0	---- 0	2	 60		イルバード各地をふらつく妖精。\n長女マリンはデザイナーを担当。
085	リッキー		 Ch_085  015  1 15	-----	0   0  0 	----|----|----|----		0 44 0	---- 0	---- 0	2	 61		イルバード各地をふらつく妖精。\n次女リッキーは仕立てを担当。
086	ジョー			 Ch_086  015  1 15	-----	0   0  0 	----|----|----|----		0 44 0	---- 0	---- 0	2	 62		イルバード各地をふらつく妖精。\n末っ子ジョーはコピー担当らしい。
082	ロッテ			 Ch_082  010  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	2	 58		例の館で受付を行う快活な少女。\n反面トボケ屋で、面倒事はスルー。
081	呼び込みペンギン Ch_081  081  1 15	-----	0   0  0 	----|----|----|----		0 44 0	---- 0	---- 0	2	 57		某所に出没する呼び込みペンギン。\n色々間違っていても気付いてない。
021 ギャランドゥ	 Ch_021  005  1 15	-----	0   0  0 	----|----|----|----		0 22 0	---- 0	---- 0	2	 08		美しき筋肉を誇る謎の覆面超人。\n何かとラグナたちを鍛えようとする。

087	ミア			 Ch_087 1016  1 15	-----	0   0  0 	----|----|----|----		0 44 0	---- 0	---- 0	0	0		\n//少女ミア
088	モーリス町長	 Ch_088  005  1 15	-----	0   0  0 	----|----|----|----		54 21 0	---- 0	---- 0	0	0		\n
089	くの一			 Ch_089  010  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	----  0		\n
090	オデッサ		 Ch_090  090  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	0	0		\n //帽子を取る演技専用キャラ
091	ミア			 Ch_091  010  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	0	0		\n //ミア私服バージン
092	カラス			 Ch_060b 005  1 15	-----	0   0  0 	----|----|----|----		60 22 0	---- 0	---- 0	0	0		\n //籠無しバージョン
093 スバル			 Ch_020d 005  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	0	0		\n //スバル包帯バージョン
094 テンザン老人	 ch_024b 005  1 15	-----	0   0  0 	----|----|----|----		0 22 0	---- 0	---- 0	0	0		\n //テンザン足袋バージョン
095 テンザン老人	 ch_024c 005  1 15	-----	0   0  0 	----|----|----|----		24 22 0	---- 0	---- 0	0	0		\n //テンザン包帯バージョン
096 オデッサ		 Ch_019b 010  1 15	-----	0   0  0 	----|----|----|----		19 21 0	---- 0	---- 0	0	0		\n //オデッサ包帯バージョン
097	カイ			 Ch_076b 005  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	0	0		\n //カイ忍者服バージョン
098 ラグナ			 Ch_003I 001  0 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	0	0		\n //オコジョスーツ
099 アルウェン		 Ch_004d 004  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	0	0		\n //女子高制服バージョン


445 黄金像			 Ch_445  445  2 15	-----	0   0  0 	----|----|----|----		0 0	0	---- 0	---- 0	2	150
//喋る動物 464から下 ボスで使用注意
446	犬				 ch_446  481  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	---- 0	？？？//ペット店犬茶	犬Ａ
447	犬				 ch_446  481  1 15	-----	0   0  0 	----|----|----|----		0 44 0	---- 0	---- 0	---- 0	？？？//ペット店犬茶	犬Ｂ
448	犬				 ch_447  481  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	---- 0	？？？//ペット店犬灰	犬Ｃ
449	猫				 ch_448  483  1 15	-----	0   0  0 	----|----|----|----		0 44 0	---- 0	---- 0	---- 0	？？？//ペット店猫縞	猫Ａ

465	牛				 Ch_497  497  1 15	-----	0   0  0 	----|----|----|----		0 22 0	---- 0	---- 0	---- 0	？？？//牛Ａ		さちこ
466	牛				 Ch_497  497  1 15	-----	0   0  0 	----|----|----|----		0 22 0	---- 0	---- 0	---- 0	？？？//牛Ｂ		よしえ
467	ニワトリ		 Ch_498  498  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	---- 0	？？？//ニワトリＡ	ニワゴン
468	ニワトリ		 Ch_499  498  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	---- 0	？？？//ニワトリＢ	ニワコ
469	ニワトリ		 Ch_499  498  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	---- 0	？？？//ニワトリＣ	ニワート
470	ヒヨコ			 Ch_496  496  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	---- 0	？？？//ヒヨコＡ	ヒヨッコ
471	ヒヨコ			 Ch_496  496  1 15	-----	0   0  0 	----|----|----|----		0 44 0	---- 0	---- 0	---- 0	？？？//ヒヨコＢ	ヒヨヒヨ
472	ヒヨコ			 Ch_496  496  1 15	-----	0   0  0 	----|----|----|----		0 44 0	---- 0	---- 0	---- 0	？？？//ヒヨコＣ	ヒヨコウ
473	ヒヨコ			 Ch_496  496  1 15	-----	0   0  0 	----|----|----|----		0 44 0	---- 0	---- 0	---- 0	？？？//ヒヨコＤ	ヒヨコ

474	チェスクのヒヨコ Ch_496  496  1 15	-----	0   0  0 	----|----|----|----		0 44 0	---- 0	---- 0	---- 0	？？？//チェスクのヒヨコＡ	アンデルセン
475	チェスクのヒヨコ Ch_496  496  1 15	-----	0   0  0 	----|----|----|----		0 44 0	---- 0	---- 0	---- 0	？？？//チェスクのヒヨコＢ  ノトルファス
476	犬				 ch_481b 481  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	---- 0	？？？//
477	猫				 EN_050b 483  1 15	-----	0   0  0 	----|----|----|----		0 44 0	---- 0	---- 0	---- 0	？？？//
478	猫				 EN_050c 483  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	---- 0	？？？//
479	猫				 EN_050d 483  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	---- 0	？？？//

480	ノートンのハト	 Ch_493  493  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	---- 0	？？？//ノートンのハト
481	犬				 ch_481b 481  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	---- 0	？？？//クラーク（犬）
482	モンブラン		 ch_482  483  1 15	-----	0   0  0 	----|----|----|----		25 20 0	---- 0	---- 0	---- 0	？？？//モンブラン（猫）
483	子猫			 EN_050b 483  1 15	-----	0   0  0 	----|----|----|----		0 44 0	---- 0	---- 0	---- 0	？？？//ミーちゃん（猫）
484	猫				 EN_050c 483  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	---- 0	？？？//ハッチー（猫）
485	猫				 EN_050d 483  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	---- 0	？？？//ショコラ（猫）


//汎用忍者
486	忍び			 Ch_079  005  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	0	0		\n//忍者Ｂ
//487	忍び		 Ch_079  005  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	0	0		\n//忍者Ｃ
488	忍び			 Ch_079  005  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	0	0		\n//忍者Ｄ
489	忍び			 Ch_079  005  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	0	0		\n//忍者Ｅ
490	忍び			 Ch_079  005  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	0	0		\n//忍者Ｆ
491	忍び			 Ch_079  005  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	0	0		\n//忍者Ｇ
492	忍び			 Ch_079  005  1 15	-----	0   0  0 	----|----|----|----		0 21 0	---- 0	---- 0	0	0		\n//忍者Ｈ

//汎用動物
493	ハト			 Ch_493  493  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	---- 0	？？？//BTikin

494	子猫			 EN_050b 483  1 15	-----	0   0  0 	----|----|----|----		0 44 0	---- 0	---- 0	---- 0	？？？//ペット店		猫Ｂ
495	猫				 ch_449  483  1 15	-----	0   0  0 	----|----|----|----		0 20 0	---- 0	---- 0	---- 0	？？？//ペット店猫青	猫Ｃ

496	ヒヨコ			 Ch_496  496  1 15	-----	0   0  0 	----|----|----|----		0 44 0	---- 0	---- 0	---- 0	？？？//BTikin
497	牛				 Ch_497  497  1 15	-----	0   0  0 	----|----|----|----		0 22 0	---- 0	---- 0	---- 0	？？？//BTikin
498 けさらん		 EN_124  124  3 07	-----	0   0  0 	----|----|----|----		0 0	0 ---- 0 ---- 0 ---- 0	X
499 ネズミ			 EN_140  140  3 13	-----	0   0  0 	----|----|----|----		0 44 0 ---- 0 ---- 0 ---- 0	X



//■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■
//ペット 		≪ 1000～1100 ≫
//■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■■
//---	 ＿＿＿＿＿＿＿＿ ------  --- -	--	-----	--- -- --	-------------------		- - - ---- - ---- - ---- -	------
1000 ねこ			 EN_050  1000 4	03	-----	0   0  0 	***-|****|-*--|-*--		0 0	0	---- 0	---- 0	---- 0	アイテムを盗む。（最後は獣王に
1001 いぬ			 ch_481  1001 4	03	-----	0   0  0 	***-|****|-*--|-*--		0 0	0	---- 0	---- 0	---- 0	接近戦が得意。（最後はフェンリルに
1002 ひよこ			 Ch_a03  1002 4	03	-----	0   0  0 	***-|****|-*--|-*--		0 0	0	---- 0	---- 0	---- 0	遠距離からの攻撃が得意。（最後はウロボロスに
1003 妖精			 Ch_a02  1003 4	03	-----	0   0  0 	***-|****|-*--|-*--		0 0	0	---- 0	---- 0	---- 0	体力を回復してくれる。（最後はミカエルに
1004 カラクリ		 ch_a04  1004 4	03	-----	0   0  0 	***-|****|-*--|-*--		0 0	0	---- 0	---- 0	---- 0	火器をつかって援護してくれる。（最後は機動戦士に。
1005 こぼると		 Ch_1005 1005 4	03	-----	0   0  0 	***-|****|-*--|-*--		0 0	0	---- 0	---- 0	---- 0	とっても弱いのが玉にキズ。
//強化ver
1100 ねこ②			 EN_050e 1000 4	03	-----	0   0  0 	***-|****|-*--|-*--		0 0	0	---- 0	---- 0	---- 0	アイテムを盗む。（最後は獣王に
1101 いぬ②			 ch_481c 1001 4	03	-----	0   0  0 	***-|****|-*--|-*--		0 0	0	---- 0	---- 0	---- 0	接近戦が得意。（最後はフェンリルに
1102 ひよこ②		 Ch_a03b 1002 4	03	-----	0   0  0 	***-|****|-*--|-*--		0 0	0	---- 0	---- 0	---- 0	遠距離からの攻撃が得意。（最後はウロボロスに
